system,section_heading,item_label,hex,css_var,token_ref,description_first_keywords,description
posthog,Neutrals & Text,Sage Placeholder,#9ea096,,,placeholder text disabled,"Placeholder text, disabled states — warm sage-green"
posthog,Neutrals & Text,Sage Border,#bfc1b7,,,primary border color,Primary border color — olive-tinted gray for all borders
posthog,Neutrals & Text,Light Border,#b6b7af,,,secondary border toolbar,"Secondary border, toolbar borders — slightly darker sage"
posthog,Semantic & Accent,PostHog Orange,#f54e00,,,hover text accent,Hover text accent — signals interactivity and brand personality
posthog,Semantic & Accent,Amber Gold,#f7a501,,,dark button hover,Dark button hover accent — warmth signal
posthog,Semantic & Accent,Focus Blue,#3b82f6,,,keyboard focus rings,Keyboard focus rings — accessibility-only color
posthog,Semantic & Accent,Dark Text,#111827,,,high-contrast link text,High-contrast link text — near-black for important links
raycast,Primary,Near-Black Blue,#07080a,,,primary page background,Primary page background — the foundational void with a subtle blue-cold undertone
raycast,Primary,Pure White,#ffffff,,,primary heading text,"Primary heading text, high-emphasis elements"
raycast,Primary,Raycast Red,#ff6363,,,brand accent hero,"Brand accent — hero stripes, danger states, critical highlights"
raycast,Secondary & Accent,Raycast Blue,#55b3ff,,,interactive accent links,"Interactive accent — links, focus states, selected items"
raycast,Secondary & Accent,Raycast Green,#5fc992,,,success states positive,"Success states, positive indicators"
raycast,Secondary & Accent,Raycast Yellow,#ffbc33,,,warning accents highlights,"Warning accents, highlights"
raycast,Secondary & Accent,Blue Transparent,,,,blue tint overlay,Blue tint overlay for interactive surfaces
raycast,Secondary & Accent,Red Transparent,,,,red tint overlay,Red tint overlay for danger/error surfaces
raycast,Surface & Background,Deep Background,#07080a,,,page canvas darkest,"Page canvas, the darkest surface"
raycast,Surface & Background,Surface 100,#101111,,,elevated surface card,"Elevated surface, card backgrounds"
raycast,Surface & Background,Key Start,#121212,,,keyboard key gradient,Keyboard key gradient start
raycast,Surface & Background,Key End,#0d0d0d,,,keyboard key gradient,Keyboard key gradient end
raycast,Surface & Background,Card Surface,#1b1c1e,,,badge backgrounds tag,"Badge backgrounds, tag fills, elevated containers"
raycast,Surface & Background,Button Foreground,#18191a,,,dark surface button,Dark surface for button text on light backgrounds
raycast,Neutrals & Text,Near White,#f9f9f9,,,primary body text,"Primary body text, high-emphasis content"
raycast,Neutrals & Text,Light Gray,#cecece,,,secondary body text,"Secondary body text, descriptions"
raycast,Neutrals & Text,Silver,#c0c0c0,,,tertiary text subdued,"Tertiary text, subdued labels"
raycast,Neutrals & Text,Medium Gray,#9c9c9d,,,link default color,"Link default color, secondary navigation"
raycast,Neutrals & Text,Dim Gray,#6a6b6c,,,disabled text low-emphasis,"Disabled text, low-emphasis labels"
raycast,Neutrals & Text,Dark Gray,#434345,,,muted borders inactive,"Muted borders, inactive navigation links"
raycast,Neutrals & Text,Border,#252829,,,standard border color,Standard border color for cards and dividers
raycast,Neutrals & Text,Dark Border,#2f3031,,,separator lines table,"Separator lines, table borders"
raycast,Semantic & Accent,Error Red,,,,error states destructive,"Error states, destructive actions"
raycast,Semantic & Accent,Success Green,,,,success confirmations positive,"Success confirmations, positive states"
raycast,Semantic & Accent,Warning Yellow,,,,warnings attention-needed states,"Warnings, attention-needed states"
raycast,Semantic & Accent,Info Blue,,,,informational highlights links,"Informational highlights, links"
raycast,Gradient System,Keyboard Key Gradient,#121212,,,linear gradient top,Linear gradient from `#121212` (top) to `#0d0d0d` (bottom) — simulates physical key depth
raycast,Gradient System,Warm Glow,,,,radial spread subtle,"`rgba(215, 201, 175, 0.05)` radial spread — subtle warm ambient glow behind featured elements"
renault,Primary,Renault Yellow,#efdf00,--CtaLink-background-color,,brand s signature,"The brand's signature Pantone — a vivid, saturated yellow used for super-primary CTAs and the highest-priority action buttons. Appears as `--CtaLink-background-color` on `.is-cta-super-primary` class. Carries the energy of the diamond logo"
renault,Primary,Absolute Black,#000000,,,primary button background,"Primary button background, heading text on light surfaces, and the dominant dark section surface. The structural anchor of the entire interface"
renault,Primary,Pure White,#ffffff,--rt-color-white,,primary surface editorial,"Primary surface for editorial content, inverted button backgrounds, hero text color, and the dominant light-mode canvas (--rt-color-white)"
renault,Secondary & Accent,Soft Yellow,#f8eb4c,,,lighter warmer variant,"Lighter, warmer variant of Renault Yellow — used for hover/pressed states on yellow CTAs and secondary accent contexts"
renault,Secondary & Accent,Renault Blue,#1883fd,,,link hover color,"Link hover color across all link variants — a bright, confident blue that signals interactivity without competing with the yellow brand accent"
renault,Secondary & Accent,Warm Gray,#d9d9d6,,,subtle warm neutral,"Subtle warm neutral used for disabled states, inactive UI elements, and soft borders — carries a slight warmth that distinguishes it from cold grays"
renault,Surface & Background,Pure White,#ffffff,,,page background light,"Page background, light editorial sections, navigation bar, and footer"
renault,Surface & Background,Absolute Black,#000000,,,hero backgrounds promocard,"Hero backgrounds, PromoCard dark-mode sections (`is-alternative-mode`), and E-Tech showcase areas"
renault,Surface & Background,Charcoal,#222222,--rt-color-dark,,secondary dark surface,Secondary dark surface for text-heavy dark sections and footer sub-regions (--rt-color-dark)
renault,Surface & Background,Pale Silver,#f2f2f2,,,subtle alternate light,Subtle alternate light surface for section differentiation and card borders
renault,Neutrals & Text,Absolute Black,#000000,,,primary heading body,Primary heading and body text on light surfaces — Renault uses true black rather than near-black
renault,Neutrals & Text,Pure White,#ffffff,,,primary text dark,"Primary text on dark surfaces — hero headlines, dark-section headings, and inverted button labels"
renault,Neutrals & Text,Warm Gray,#d9d9d6,,,tertiary text metadata,"Tertiary text, metadata, and subdued labels"
renault,Neutrals & Text,Border Gray,#d1d1d1,,,input field borders,Input field borders and subtle separators
renault,Semantic & Accent,Success Green,#8dc572,--rt-color-success,,positive status indicators,Positive status indicators and confirmation messages (--rt-color-success)
renault,Semantic & Accent,Error Rose,#be6464,--rt-color-error,,form validation errors,Form validation errors and warning states (--rt-color-error)
renault,Semantic & Accent,Warning Amber,#f0ad4e,--rt-color-warning,,cautionary alerts attention-requiring,Cautionary alerts and attention-requiring states (--rt-color-warning)
renault,Semantic & Accent,Info Blue,#337ab7,--rt-color-info,,informational callouts neutral,Informational callouts and neutral status messaging (--rt-color-info)
renault,Gradient System,Hero Aurora,,,,sweeping multi-color gradients,Sweeping multi-color gradients (magenta → violet → teal) applied to hero slide backgrounds — the site's most distinctive visual element. These are photographic/composited rather than CSS gradients
renault,Gradient System,PromoCard Overlay,,,,applied card tops,"`linear-gradient(rgba(0,0,0,0.6) 0%, rgba(0,0,0,0) 40%)` — applied to card tops to ensure heading text legibility over photography"
replicate,Primary,Replicate Dark,#202020,,,primary text color,The primary text color and dark surface — a near-black that's the anchor of all text and borders. Slightly warmer than pure #000.
replicate,Primary,Replicate Red,#ea2804,,,core brand color,"The core brand color — a vivid, saturated orange-red used in the hero gradient, accent borders, and high-signal moments."
replicate,Primary,Secondary Red,#dd4425,,,slightly warmer variant,A slightly warmer variant for button borders and link hover states.
replicate,Secondary & Accent,Status Green,#2b9a66,,,badge pill background,"Badge/pill background for ""running"" or operational status indicators."
replicate,Secondary & Accent,GitHub Dark,#24292e,,,blue-tinted dark used,A blue-tinted dark used for code block backgrounds and developer contexts.
replicate,Surface & Background,Pure White,#ffffff,,,primary page body,The primary page body background.
replicate,Surface & Background,Near White,#fcfcfc,,,button text dark,Button text on dark surfaces and the lightest content.
replicate,Surface & Background,Hero Gradient,#ea2804,,,dramatic orange red,A dramatic orange → red → magenta → pink gradient for the hero section. Transitions from warm (#ea2804 family) through hot pink.
replicate,Neutrals & Text,Medium Gray,#646464,,,secondary body text,Secondary body text and de-emphasized content.
replicate,Neutrals & Text,Warm Gray,#4e4e4e,,,emphasized secondary text,Emphasized secondary text.
replicate,Neutrals & Text,Mid Silver,#8d8d8d,,,tertiary text footnotes,"Tertiary text, footnotes."
replicate,Neutrals & Text,Light Silver,#bbbbbb,,,dotted-underline link decoration,"Dotted-underline link decoration color, muted metadata."
replicate,Neutrals & Text,Pure Black,#000000,,,maximum-emphasis borders occasional,Maximum-emphasis borders and occasional text.
replicate,Gradient System,Hero Blaze,#ea2804,,,dramatic multi-stop gradient,A dramatic multi-stop gradient flowing through orange (`#ea2804`) → red → magenta → hot pink. This gradient occupies the full hero section and is the most visually dominant element on the page.
replicate,Gradient System,Dark Sections,#202020,,,deep dark 202020,Deep dark (#202020) sections with white/near-white text provide contrast against the white body.
resend,Primary,Void Black,#000000,--color-black-12,,page background defining,"Page background, the defining canvas color (95% opacity via `--color-black-12`)"
resend,Primary,Near White,#f0f0f0,,,primary text button,"Primary text, button text, high-contrast elements"
resend,Primary,Pure White,#ffffff,--color-white,,maximum emphasis text,"`--color-white`, maximum emphasis text, link highlights"
resend,Accent Scale — Orange,Orange 4,#ff5900,--color-orange-4,,22 opacity subtle,"`--color-orange-4`, at 22% opacity — subtle warm glow"
resend,Accent Scale — Orange,Orange 10,#ff801f,--color-orange-10,,primary orange accent,"`--color-orange-10`, primary orange accent — warm, energetic"
resend,Accent Scale — Orange,Orange 11,#ffa057,--color-orange-11,,lighter orange secondary,"`--color-orange-11`, lighter orange for secondary use"
resend,Accent Scale — Green,Green 3,#22ff99,--color-green-3,,12 opacity faint,"`--color-green-3`, at 12% opacity — faint emerald wash"
resend,Accent Scale — Green,Green 4,#11ff99,--color-green-4,,18 opacity success,"`--color-green-4`, at 18% opacity — success indicator glow"
resend,Accent Scale — Blue,Blue 4,#0075ff,--color-blue-4,,34 opacity medium,"`--color-blue-4`, at 34% opacity — medium blue accent"
resend,Accent Scale — Blue,Blue 5,#0081fd,--color-blue-5,,42 opacity stronger,"`--color-blue-5`, at 42% opacity — stronger blue"
resend,Accent Scale — Blue,Blue 10,#3b9eff,--color-blue-10,,bright blue links,"`--color-blue-10`, bright blue — links, interactive elements"
resend,Accent Scale — Other,Yellow 9,#ffc53d,--color-yellow-9,,warm gold warnings,"`--color-yellow-9`, warm gold for warnings or highlights"
resend,Accent Scale — Other,Red 5,#ff2047,--color-red-5,,34 opacity error,"`--color-red-5`, at 34% opacity — error states, destructive actions"
resend,Neutral Scale,Silver,#a1a4a5,,,secondary text muted,"Secondary text, muted links, descriptions"
resend,Neutral Scale,Dark Gray,#464a4d,,,tertiary text de-emphasized,"Tertiary text, de-emphasized content"
resend,Neutral Scale,Mid Gray,#5c5c5c,,,hover states subtle,"Hover states, subtle emphasis"
resend,Neutral Scale,Medium Gray,#494949,,,quaternary text,Quaternary text
resend,Neutral Scale,Light Gray,#f8f8f8,,,light mode surface,Light mode surface (if applicable)
resend,Neutral Scale,Border Gray,#eaeaea,,,light context borders,Light context borders
resend,Neutral Scale,Edge Gray,#ececec,,,subtle borders light,Subtle borders on light surfaces
resend,Neutral Scale,Mist Gray,#dedfdf,,,light dividers,Light dividers
resend,Neutral Scale,Soft Gray,#e5e6e6,,,alternate light border,Alternate light border
resend,Surface & Overlay,Frost Primary,#fcfdff,,,primary color token,"Primary color token (slight blue tint, 94% opacity)"
resend,Surface & Overlay,White Hover,,,,button hover state,Button hover state on dark
resend,Surface & Overlay,White 60%,,,,semi-transparent white muted,Semi-transparent white for muted text
resend,Surface & Overlay,White 64%,,,,slightly brighter semi-transparent,Slightly brighter semi-transparent white
resend,Borders & Shadows,Frost Border,,,,signature icy blue-tinted,The signature — icy blue-tinted borders at 19% opacity
resend,Borders & Shadows,Frost Border Alt,,,,slightly lighter variant,Slightly lighter variant for list items
resend,Borders & Shadows,Ring Shadow,,,,blue-tinted shadow-as-border,Blue-tinted shadow-as-border
resend,Borders & Shadows,Focus Ring,,,,heavy black focus,Heavy black focus ring
resend,Borders & Shadows,Subtle Shadow,,,,minimal card elevation,Minimal card elevation
revolut,Primary,Revolut Dark,#191c1f,,,primary dark surface,"Primary dark surface, button background, near-black text"
revolut,Primary,Pure White,#ffffff,--rui-color-action-label,,primary light surface,"`--rui-color-action-label`, primary light surface"
revolut,Primary,Light Surface,#f4f4f4,,,secondary button background,"Secondary button background, subtle surface"
revolut,Brand / Interactive,Revolut Blue,#494fdf,--rui-color-blue,,primary brand blue,"`--rui-color-blue`, primary brand blue"
revolut,Brand / Interactive,Action Blue,#4f55f1,--rui-color-action-photo-header-text,,header accent,"`--rui-color-action-photo-header-text`, header accent"
revolut,Brand / Interactive,Blue Text,#376cd5,--website-color-blue-text,,link blue,"`--website-color-blue-text`, link blue"
revolut,Semantic,Danger Red,#e23b4a,--rui-color-danger,,error destructive,"`--rui-color-danger`, error/destructive"
revolut,Semantic,Deep Pink,#e61e49,--rui-color-deep-pink,,critical accent,"`--rui-color-deep-pink`, critical accent"
revolut,Semantic,Warning Orange,#ec7e00,--rui-color-warning,,warning states,"`--rui-color-warning`, warning states"
revolut,Semantic,Yellow,#b09000,--rui-color-yellow,,attention,"`--rui-color-yellow`, attention"
revolut,Semantic,Teal,#00a87e,--rui-color-teal,,success positive,"`--rui-color-teal`, success/positive"
revolut,Semantic,Light Green,#428619,--rui-color-light-green,,secondary success,"`--rui-color-light-green`, secondary success"
revolut,Semantic,Green Text,#006400,--website-color-green-text,,green text,"`--website-color-green-text`, green text"
revolut,Semantic,Light Blue,#007bc2,--rui-color-light-blue,,informational,"`--rui-color-light-blue`, informational"
revolut,Semantic,Brown,#936d62,--rui-color-brown,,warm neutral accent,"`--rui-color-brown`, warm neutral accent"
revolut,Semantic,Red Text,#8b0000,--website-color-red-text,,dark red text,"`--website-color-red-text`, dark red text"
revolut,Neutral Scale,Mid Slate,#505a63,,,secondary text,Secondary text
revolut,Neutral Scale,Cool Gray,#8d969e,,,muted text tertiary,"Muted text, tertiary"
revolut,Neutral Scale,Gray Tone,#c9c9cd,--rui-color-grey-tone-20,,borders dividers,"`--rui-color-grey-tone-20`, borders/dividers"
runwayml,Primary,Runway Black,#000000,,,primary page background,The primary page background and maximum-emphasis text.
runwayml,Primary,Deep Black,#030303,,,near-imperceptible variant layered,A near-imperceptible variant for layered dark surfaces.
runwayml,Primary,Dark Surface,#1a1a1a,,,card backgrounds elevated,Card backgrounds and elevated dark containers.
runwayml,Primary,Pure White,#ffffff,,,primary text dark,Primary text on dark surfaces and light-section backgrounds.
runwayml,Surface & Background,Near White,#fefefe,,,lightest surface barely,The lightest surface — barely distinguishable from pure white.
runwayml,Surface & Background,Cool Cloud,#e9ecf2,,,light section backgrounds,Light section backgrounds with a cool blue-gray tint.
runwayml,Surface & Background,Border Dark,#27272a,,,single dark-mode border,The single dark-mode border color — barely visible containment.
runwayml,Neutrals & Text,Charcoal,#404040,,,primary body text,Primary body text on light surfaces and secondary text.
runwayml,Neutrals & Text,Near Charcoal,#3f3f3f,,,slightly lighter variant,Slightly lighter variant for dark-section secondary text.
runwayml,Neutrals & Text,Cool Slate,#767d88,,,secondary body text,Secondary body text — a distinctly blue-gray cool neutral.
runwayml,Neutrals & Text,Mid Slate,#7d848e,,,tertiary text metadata,"Tertiary text, metadata descriptions."
runwayml,Neutrals & Text,Muted Gray,#a7a7a7,,,de-emphasized content timestamps,"De-emphasized content, timestamps."
runwayml,Neutrals & Text,Cool Silver,#c9ccd1,,,light borders dividers,Light borders and dividers.
runwayml,Neutrals & Text,Light Silver,#d0d4d4,,,lightest border divider,The lightest border/divider variant.
runwayml,Neutrals & Text,Tailwind Gray,#6b7280,,,standard tailwind neutral,Standard Tailwind neutral for supplementary text.
runwayml,Neutrals & Text,Dark Link,#0c0c0c,,,darkest link text,Darkest link text — nearly black.
runwayml,Neutrals & Text,Footer Gray,#999999,,,footer links deeply,Footer links and deeply muted content.
runwayml,Gradient System,None in the interface.,,,,visual richness comes,Visual richness comes entirely from photographic content — AI-generated and enhanced imagery provides all the color and gradient the design needs. The interface itself is intentionally colorless.
sanity,Primary Brand,Sanity Black,#0b0b0b,,,primary canvas dominant,The primary canvas and dominant surface color. Not pure black but close enough to feel absolute. The foundation of the entire visual identity.
sanity,Primary Brand,Pure Black,#000000,,,used maximum-contrast moments,"Used for maximum-contrast moments, deep overlays, and certain border accents."
sanity,Primary Brand,Sanity Red,#f36458,,,primary cta brand,"The primary CTA and brand accent -- a warm coral-red that serves as the main call-to-action color. Used for ""Get Started"" buttons and primary conversion points."
sanity,Accent & Interactive,Electric Blue,#0052ef,--color-blue-700,,universal hover active,"The universal hover/active state color across the entire system. Buttons, links, and interactive elements all shift to this blue on hover. Also used as `--color-blue-700` for focus rings and active states."
sanity,Accent & Interactive,Light Blue,#55beff,,,secondary blue variants,"Secondary blue variants used for accent backgrounds, badges, and dimmed blue surfaces."
sanity,Accent & Interactive,Neon Green,#19d600,--color-fg-accent-green,,vivid wide-gamut green,"A vivid, wide-gamut green used as `--color-fg-accent-green` for success states and premium feature highlights. Falls back to `#19d600` in sRGB."
sanity,Accent & Interactive,Accent Magenta,,,,vivid wide-gamut magenta,A vivid wide-gamut magenta for specialized accent moments.
sanity,Surface & Background,Near Black,#0b0b0b,,,default page background,Default page background and primary surface.
sanity,Surface & Background,Dark Gray,#212121,,,elevated surface color,"Elevated surface color for cards, secondary containers, input backgrounds, and subtle layering above the base canvas."
sanity,Surface & Background,Medium Dark,#353535,,,tertiary surface border,Tertiary surface and border color for creating depth between dark layers.
sanity,Surface & Background,Pure White,#ffffff,,,used inverted sections,"Used for inverted sections, light-on-dark text, and specific button surfaces."
sanity,Surface & Background,Light Gray,#ededed,,,light surface inverted,Light surface for inverted/light sections and subtle background tints.
sanity,Neutrals & Text,White,#ffffff,,,primary text color,"Primary text color on dark surfaces, maximum legibility."
sanity,Neutrals & Text,Silver,#b9b9b9,,,secondary text body,"Secondary text, body copy on dark surfaces, muted descriptions, and placeholder text."
sanity,Neutrals & Text,Medium Gray,#797979,,,tertiary text metadata,"Tertiary text, metadata, timestamps, and de-emphasized content."
sanity,Neutrals & Text,Charcoal,#212121,,,text light inverted,Text on light/inverted surfaces.
sanity,Neutrals & Text,Near Black Text,#0b0b0b,,,primary text white,Primary text on white/light button surfaces.
sanity,Semantic,Error Red,#dd0000,,,destructive actions validation,"Destructive actions, validation errors, and critical warnings -- a pure, high-saturation red."
sanity,Semantic,GPC Green,#37cd84,,,privacy compliance indicator,Privacy/compliance indicator green.
sanity,Semantic,Focus Ring Blue,#0052ef,,,focus ring color,"Focus ring color for accessibility, matching the interactive blue."
sanity,Border System,Dark Border,#0b0b0b,,,primary border dark,"Primary border on dark containers -- barely visible, maintaining minimal containment."
sanity,Border System,Subtle Border,#212121,,,standard border inputs,"Standard border for inputs, textareas, and card edges on dark surfaces."
sanity,Border System,Medium Border,#353535,,,more visible borders,More visible borders for emphasized containment and dividers.
sanity,Border System,Light Border,#ffffff,,,border inverted light,Border on inverted/light elements or buttons needing contrast separation.
sanity,Border System,Orange Border,,,,special accent border,Special accent border for highlighted/featured elements.
sentry,Primary Brand,Deep Purple,#1f1633,,,primary background defining,"Primary background, the defining color of the brand"
sentry,Primary Brand,Darker Purple,#150f23,,,deeper sections footer,"Deeper sections, footer, secondary backgrounds"
sentry,Primary Brand,Border Purple,#362d59,,,borders dividers subtle,"Borders, dividers, subtle structural lines"
sentry,Accent Colors,Sentry Purple,#6a5fc1,,,primary interactive color,"Primary interactive color — links, hover states, focus rings"
sentry,Accent Colors,Muted Purple,#79628c,,,button backgrounds secondary,"Button backgrounds, secondary interactive elements"
sentry,Accent Colors,Deep Violet,#422082,,,select dropdowns active,"Select dropdowns, active states, high-emphasis surfaces"
sentry,Accent Colors,Lime Green,#c2ef4e,,,high-visibility accent special,"High-visibility accent, special links, badge highlights"
sentry,Accent Colors,Coral,#ffb287,,,focus state backgrounds,"Focus state backgrounds, warm accent"
sentry,Accent Colors,Pink,#fa7faa,,,focus outlines decorative,"Focus outlines, decorative accents"
sentry,Text Colors,Pure White,#ffffff,,,primary text dark,Primary text on dark backgrounds
sentry,Text Colors,Light Gray,#e5e7eb,,,secondary text muted,"Secondary text, muted content"
sentry,Text Colors,Code Yellow,#dcdcaa,,,syntax highlighting code,"Syntax highlighting, code tokens"
sentry,Surface & Overlay,Glass White,,,,frosted glass button,Frosted glass button backgrounds
sentry,Surface & Overlay,Glass Dark,,,,hover overlay glass,Hover overlay on glass elements
sentry,Surface & Overlay,Input White,#ffffff,,,form input backgrounds,Form input backgrounds (light context)
sentry,Surface & Overlay,Input Border,#cfcfdb,,,form field borders,Form field borders
sentry,Shadows,Ambient Glow,,,,deep purple ambient,Deep purple ambient shadow
sentry,Shadows,Button Hover,,,,elevated hover state,Elevated hover state
sentry,Shadows,Card Shadow,,,,standard card elevation,Standard card elevation
sentry,Shadows,Inset Button,,,,tactile pressed effect,Tactile pressed effect
spacex,Primary,Space Black,#000000,,,page background void,"Page background, the void of space — at 50% opacity for overlay gradient"
spacex,Primary,Spectral White,#f0f0fa,,,text color pure,"Text color — not pure white, a slight blue-violet tint that mimics starlight"
spacex,Interactive,Ghost Surface,,,,button background nearly,"Button background — nearly invisible, 10% opacity"
spacex,Interactive,Ghost Border,,,,button border spectral,"Button border — spectral, 35% opacity"
spacex,Interactive,Hover White,,--white-100,,link hover state,Link hover state — full spectral white
spacex,Gradient,Dark Overlay,,,,gradient overlay photographs,Gradient overlay on photographs to ensure text legibility
spotify,Primary Brand,Spotify Green,#1ed760,,,primary brand accent,"Primary brand accent — play buttons, active states, CTAs"
spotify,Primary Brand,Near Black,#121212,,,deepest background surface,Deepest background surface
spotify,Primary Brand,Dark Surface,#181818,,,cards containers elevated,"Cards, containers, elevated surfaces"
spotify,Primary Brand,Mid Dark,#1f1f1f,,,button backgrounds interactive,"Button backgrounds, interactive surfaces"
spotify,Text,White,#ffffff,--text-base,,primary text,"`--text-base`, primary text"
spotify,Text,Silver,#b3b3b3,,,secondary text muted,"Secondary text, muted labels, inactive nav"
spotify,Text,Near White,#cbcbcb,,,slightly brighter secondary,Slightly brighter secondary text
spotify,Text,Light,#fdfdfd,,,near-pure white maximum,Near-pure white for maximum emphasis
spotify,Semantic,Negative Red,#f3727f,--text-negative,,error states,"`--text-negative`, error states"
spotify,Semantic,Warning Orange,#ffa42b,--text-warning,,warning states,"`--text-warning`, warning states"
spotify,Semantic,Announcement Blue,#539df5,--text-announcement,,info states,"`--text-announcement`, info states"
spotify,Surface & Border,Dark Card,#252525,,,elevated card surface,Elevated card surface
spotify,Surface & Border,Mid Card,#272727,,,alternate card surface,Alternate card surface
spotify,Surface & Border,Border Gray,#4d4d4d,,,button borders dark,Button borders on dark
spotify,Surface & Border,Light Border,#7c7c7c,,,outlined button borders,"Outlined button borders, muted links"
spotify,Surface & Border,Separator,#b3b3b3,,,divider lines,Divider lines
spotify,Surface & Border,Light Surface,#eeeeee,,,light-mode buttons rare,Light-mode buttons (rare)
spotify,Surface & Border,Spotify Green Border,#1db954,,,green accent border,Green accent border variant
spotify,Shadows,Heavy,,,,dialogs menus elevated,"Dialogs, menus, elevated panels"
spotify,Shadows,Medium,,,,cards dropdowns,"Cards, dropdowns"
spotify,Shadows,Inset Border,,,,input border-shadow combo,Input border-shadow combo
stripe,Primary,Stripe Purple,#533afd,,,primary brand color,"Primary brand color, CTA backgrounds, link text, interactive highlights. A saturated blue-violet that anchors the entire system."
stripe,Primary,Deep Navy,#061b31,--hds-color-heading-solid,,primary heading color,"`--hds-color-heading-solid`. Primary heading color. Not black, not gray -- a very dark blue that adds warmth and depth to text."
stripe,Primary,Pure White,#ffffff,,,page background card,"Page background, card surfaces, button text on dark backgrounds."
stripe,Brand & Dark,Brand Dark,#1c1e54,--hds-color-util-brand-900,,deep indigo dark,"`--hds-color-util-brand-900`. Deep indigo for dark sections, footer backgrounds, and immersive brand moments."
stripe,Brand & Dark,Dark Navy,#0d253d,--hds-color-core-neutral-975,,darkest neutral --,`--hds-color-core-neutral-975`. The darkest neutral -- almost-black with a blue undertone for maximum depth without harshness.
stripe,Accent Colors,Ruby,#ea2261,--hds-color-accentColorMode-ruby-icon-solid,,warm red-pink icons,"`--hds-color-accentColorMode-ruby-icon-solid`. Warm red-pink for icons, alerts, and accent elements."
stripe,Accent Colors,Magenta,#f96bee,--hds-color-accentColorMode-magenta-icon-gradientMiddle,,vivid pink-purple gradients,`--hds-color-accentColorMode-magenta-icon-gradientMiddle`. Vivid pink-purple for gradients and decorative highlights.
stripe,Accent Colors,Magenta Light,#ffd7ef,--hds-color-util-accent-magenta-100,,tinted surface magenta-themed,`--hds-color-util-accent-magenta-100`. Tinted surface for magenta-themed cards and badges.
stripe,Interactive,Primary Purple,#533afd,,,primary link color,"Primary link color, active states, selected elements."
stripe,Interactive,Purple Hover,#4434d4,,,darker purple hover,Darker purple for hover states on primary elements.
stripe,Interactive,Purple Deep,#2e2b8c,--hds-color-button-ui-iconHover,,dark purple icon,`--hds-color-button-ui-iconHover`. Dark purple for icon hover states.
stripe,Interactive,Purple Light,#b9b9f9,--hds-color-action-bg-subduedHover,,soft lavender subdued,`--hds-color-action-bg-subduedHover`. Soft lavender for subdued hover backgrounds.
stripe,Interactive,Purple Mid,#665efd,--hds-color-input-selector-text-range,,range selector input,`--hds-color-input-selector-text-range`. Range selector and input highlight color.
stripe,Neutral Scale,Heading,#061b31,,,primary headings nav,"Primary headings, nav text, strong labels."
stripe,Neutral Scale,Label,#273951,--hds-color-input-text-label,,form labels secondary,"`--hds-color-input-text-label`. Form labels, secondary headings."
stripe,Neutral Scale,Body,#64748d,,,secondary text descriptions,"Secondary text, descriptions, captions."
stripe,Neutral Scale,Success Green,#15be53,,,status badges success,"Status badges, success indicators (with 0.2-0.4 alpha for backgrounds/borders)."
stripe,Neutral Scale,Success Text,#108c3d,,,success badge text,Success badge text color.
stripe,Neutral Scale,Lemon,#9b6829,--hds-color-core-lemon-500,,warning highlight accent,`--hds-color-core-lemon-500`. Warning and highlight accent.
stripe,Surface & Borders,Border Default,#e5edf5,,,standard border color,"Standard border color for cards, dividers, and containers."
stripe,Surface & Borders,Border Purple,#b9b9f9,,,active selected state,Active/selected state borders on buttons and inputs.
stripe,Surface & Borders,Border Soft Purple,#d6d9fc,,,subtle purple-tinted borders,Subtle purple-tinted borders for secondary elements.
stripe,Surface & Borders,Border Magenta,#ffd7ef,,,pink-tinted borders magenta-themed,Pink-tinted borders for magenta-themed elements.
stripe,Surface & Borders,Border Dashed,#362baa,,,dashed borders drop,Dashed borders for drop zones and placeholder elements.
stripe,Shadow Colors,Shadow Blue,,,,signature -- blue-tinted,The signature -- blue-tinted primary shadow color.
stripe,Shadow Colors,Shadow Dark Blue,,,,deeper blue shadow,Deeper blue shadow for elevated elements.
stripe,Shadow Colors,Shadow Black,,,,secondary shadow layer,Secondary shadow layer for depth reinforcement.
stripe,Shadow Colors,Shadow Ambient,,,,soft ambient shadow,Soft ambient shadow for subtle elevation.
stripe,Shadow Colors,Shadow Soft,,,,minimal ambient shadow,Minimal ambient shadow for light lift.
supabase,Brand,Supabase Green,#3ecf8e,,,primary brand color,"Primary brand color, logo, accent borders"
supabase,Brand,Green Link,#00c573,,,interactive green links,Interactive green for links and actions
supabase,Brand,Green Border,,,,subtle green border,Subtle green border accent
supabase,Neutral Scale (Dark Mode),Near Black,#0f0f0f,,,primary button background,"Primary button background, deepest surface"
supabase,Neutral Scale (Dark Mode),Dark,#171717,,,page background primary,"Page background, primary canvas"
supabase,Neutral Scale (Dark Mode),Dark Border,#242424,,,horizontal rule section,"Horizontal rule, section dividers"
supabase,Neutral Scale (Dark Mode),Border Dark,#2e2e2e,,,card borders tab,"Card borders, tab borders"
supabase,Neutral Scale (Dark Mode),Mid Border,#363636,,,button borders dividers,"Button borders, dividers"
supabase,Neutral Scale (Dark Mode),Border Light,#393939,,,secondary borders,Secondary borders
supabase,Neutral Scale (Dark Mode),Charcoal,#434343,,,tertiary borders dark,"Tertiary borders, dark accents"
supabase,Neutral Scale (Dark Mode),Dark Gray,#4d4d4d,,,heavy secondary text,Heavy secondary text
